Wahlbezirke,Grüne,Wahlberechtigte,Wahlbeteiligung
11201 Bevenrode,24.4,1224,57.4
11211 Waggum-Ost,28.3,1328,53.2
11212 Waggum-West,24.4,1277,54.7
11221 Bienrode,19.6,1345,47.2
11231 Querum-Nord,28.9,872,52.9
11232 Querum-Nord-Ost,28.9,924,46.9
11241 Querum-Ost,28.2,872,49.1
11242 Querum-Mitte,29.7,1277,47.8
11243 Querum-West,28.6,1189,47.3
11251 Pappelberg,23.6,1291,46.1
11252 Gliesmarode-Südost,30.8,1229,48.7
11253 Gliesmarode-Mitte,32.5,1106,47.2
11254 Gliesmarode-Nord,35.3,1399,50.0
11261 Riddagshausen,35.0,414,54.6
11301 Hondelage-Ost,16.1,1096,52.1
11302 Hondelage-Mitte/Gewerbegebiet,22.4,976,51.9
11303 Hondelage-West,19.2,964,51.3
11401 Dibbesdorf,24.2,1179,59.5
11411 Volkmarode-Ost,25.8,1447,53.8
11412 Volkmarode-West,28.4,1607,49.8
11421 Schapen,28.3,1299,56.7
12001 Gliesmaroder Straße-Nordost ,34.1,1290,46.5
12002 Karlstraße-Mitte ,41.8,1090,52.0
12003 Gliesmaroder Straße-Ost,40.7,1198,51.9
12004 Malerviertel,44.1,1304,58.9
12005 An der Paulikirche,44.2,1218,61.3
12006 Hagenring,42.1,1254,58.1
12011 Humboldtstraße,46.2,1227,48.6
12012 Kasernenstraße,41.4,1336,49.9
12021 Am Theater,42.5,1454,50.3
12022 Giersberg,36.6,1465,50.4
12031 Stadtpark,44.1,1320,59.2
12032 Prinzenpark-Nord,41.1,1146,56.0
12033 Kastanienallee,45.0,1093,55.7
12034 Prinzenpark-Mitte,37.1,967,52.3
12035 Prinzenpark-Süd,42.5,1069,58.4
12036 Altewiekring-Südost,40.6,1370,54.7
12037 Georg-Westermann-Allee,40.4,1302,47.8
13101 Inselwall,31.2,974,42.8
13102 Am Hagenmarkt,33.3,1220,42.8
13103 An der Katharinenkirche,35.3,1297,39.6
13104 Wendentorwall,36.6,1084,42.1
13111 Am Schloßpark,31.2,1216,43.7
13112 Kennedyplatz,32.8,1328,44.3
13113 An der Martinikirche ,32.4,1186,45.2
13114 Gördelingerstraße ,31.0,1097,46.2
13115 Am Neustadtmühlengraben ,30.3,1169,42.2
13201 Adolfstraße/Leonhardstraße,40.5,1315,57.4
13202 An der Stadthalle,35.0,1104,49.4
13203 Viewegs-Garten,36.3,1247,48.7
13204 Rimpaus-Garten,36.2,931,53.8
13205 Am Bürgerpark,37.8,1026,46.7
13211 Hauptbahnhof,30.6,665,38.0
13212 Streitberg/Hauptfriedhof,32.1,681,44.1
13221 Zuckerberg,26.7,793,49.3
13231 Bebelhof-West,21.0,995,31.9
13232 Bebelhof-Ost,26.9,1040,40.7
21101 Stöckheim-Nordost,26.8,1207,49.8
21102 Stöckheim-Südost,25.3,1206,54.8
21103 Stöckheim-West,25.6,1292,54.5
21104 Stöckheim-Nordwest,32.2,1311,55.3
21111 Leiferde,23.4,1497,52.8
21201 Heidberg-Nordost,20.3,1035,46.3
21202 Am Schulzentrum Heidberg,20.5,1073,45.9
21203 Heidberg-Südost,17.9,953,40.8
21204 Heidberg-Südwest,17.0,899,44.3
21205 Heidberg-Zentrum ,13.7,1140,37.5
21206 Heidberg-Nordwest,20.5,1167,44.2
21211 Melverode-Südwest,27.1,1017,50.7
21212 Melverode-Nord,23.6,937,45.3
21213 Melverode-Südost,19.7,997,49.2
21301 Mastbruch-Siedlung,28.0,278,42.8
21311 Rautheim-West,23.0,1310,49.1
21312 Rautheim-Ost,30.2,1410,52.7
21321 Lindenberg-West,22.4,1009,46.2
21322 Lindenberg-Ost,29.1,964,52.8
21331 Südstadt-Ost,26.0,1216,53.1
21332 Südstadt-West,28.3,1011,54.0
21341 Mascherode-Mitte,23.4,967,51.7
21342 Mascherode-Süd,25.2,1011,55.8
21343 Mascherode-Nordwest,26.7,1104,53.2
22101 Rheinring-Ost,19.9,1304,36.1
22102 Emsstraße-West,12.5,1065,27.7
22103 Elbestraße-Ost,10.9,1210,23.8
22104 Rheinring-Südwest,15.1,1188,39.6
22105 Rheinring-Nordwest,15.9,1147,46.5
22111 Elbestraße-Süd,12.1,1067,26.8
22112 Saalestraße,16.8,1286,28.2
22113 Ilmenaustraße,14.3,1280,38.4
22114 Weserstraße,17.8,1212,38.1
22115 Isarstraße,15.1,1118,32.8
22116 Lechstraße,22.5,1084,30.4
22121 Münchenstraße-Südost,16.0,1148,21.1
22122 Neckarstraße,13.7,905,28.4
22123 Lahnstraße,15.2,1078,26.4
22201 Timmerlah-West,20.9,860,50.6
22202 Timmerlah-Ost,24.7,910,57.0
22211 Stiddien,21.5,176,63.1
22221 Geitelde,20.4,894,55.3
22301 Broitzem-Nordwest,19.9,1247,45.8
22302 Broitzem-Südwest,20.8,1239,51.6
22303 Broitzem-Südost,21.2,944,51.7
22304 Broitzem-Nordost,26.6,1128,49.2
22401 Rüningen-Nord,17.6,1091,44.9
22402 Rüningen-Süd,18.6,1176,42.3
31001 Eichtal ,30.0,1344,39.8
31002 Am Weißen Roß,30.5,1824,44.5
31003 Celler Straße-Nordwest ,29.7,982,38.5
31011 Am Maschplatz,38.7,1169,44.5
31012 Am Amalienplatz,35.0,1281,46.1
31013 Rudolfplatz-Ost,34.8,1133,39.0
31014 Rennelberg,35.6,1142,36.9
31015 Holwedestraße,39.0,1284,47.8
31016 Sackring-Ost,26.0,1280,44.4
31021 Rudolfplatz-West,25.2,1415,46.5
31022 Sackring-West,31.9,1329,47.6
31031 Altstadtring-Nord,29.0,1124,38.1
31032 Altstadtring-Süd,30.0,1253,45.1
31033 Altstadtring-West,33.5,1062,42.9
31034 Am Großmarkt,28.5,1099,38.6
31041 Westbahnhof,33.5,1165,42.7
31042 Cyriaksring-Ost,32.7,1177,48.7
31043 Juliusstraße-Ost,36.6,1505,48.0
31044 Frankfurter Straße-Ost,31.5,1202,46.2
31045 Frankfurter Straße-West,34.3,985,40.5
31051 Gartenstadt-Ost,28.7,752,55.3
31052 Gartenstadt-West,23.3,718,44.8
32101 Kanzlerfeld-West,22.3,875,57.0
32102 Kanzlerfeld-Südwest,24.4,1036,62.7
32103 Kanzlerfeld-Ost,26.6,1273,59.4
32111 Horstbleek,35.1,1163,51.7
32112 Lehndorf-Siedlung-Nord,31.2,1304,47.2
32113 Lehndorf-Alt,23.7,1046,45.7
32114 Lehndorf-Mitte,32.0,1086,43.9
32115 Lehndorf-Siedlung-Süd,34.1,1017,52.5
32121 Lamme-Nord,24.3,1112,54.2
32122 Lamme-Süd,26.2,1270,51.9
32123 Lamme-Ost,26.9,898,49.3
32131 Völkenrode,27.9,1354,54.5
32141 Watenbüttel-Nordost,21.0,1192,49.1
32142 Watenbüttel-Südwest,24.5,936,53.3
32151 Ölper,29.2,1133,52.4
32201 Veltenhof-Nord,20.7,1135,45.6
32202 Veltenhof-Süd,22.2,1116,51.3
32211 Lincolnsiedlung,18.7,1177,42.1
32212 Vorwerksiedlung,20.8,1053,37.2
32301 Harxbüttel,30.6,534,59.0
32311 Thune,23.4,1356,54.6
32321 Wenden-Nordwest,19.6,1123,48.8
32322 Wenden-Ost,22.0,1002,44.0
32323 Wenden-Südwest,18.3,1029,45.5
33101 Schwarzer Berg-Süd,24.5,923,45.9
33102 Schwarzer Berg-Mitte,22.2,1004,49.0
33103 Schwarzer Berg-West,17.4,938,44.8
33104 Schwarzer Berg-Nordwest,18.3,790,32.2
33111 Siegfriedviertel-Nord,30.5,1086,45.9
33112 Siegfriedviertel-Nordost,26.3,981,37.3
33113 Siegfriedviertel-Südost,25.5,876,38.7
33114 Siegfriedviertel-Mitte,26.5,1118,39.5
33115 Siegfriedviertel-Südwest,22.6,840,42.0
33116 Siegfriedviertel-West,19.9,904,30.9
33121 Wendenring-Süd,40.3,1308,54.1
33122 Wendenring-Nord,37.2,1156,43.3
33123 Am Nordbahnhof,39.3,1020,46.7
33124 Neues Hochschulviertel,37.3,1161,48.8
33125 Rebenring-Nord,36.9,1113,54.1
33126 Altes Hochschulviertel,38.5,1364,52.8
33201 Kralenriede-Nordwest,28.4,1146,43.5
33202 Kralenriede-Südost,24.1,1325,39.9
33211 Schuntersiedlung-West,27.4,616,56.7
33212 Schuntersiedlung-Ost,31.4,745,53.8
